gauge,station,watercourse,version_start,version_end_as_written,segment,stage_low_m,stage_high_m,formula,formula_as_written,note
10.Q.29,Cottessen,Geul,2007-11-16,,1,119.477,120.027,5.857*(H-119.447)**1.761,"5,857 * (H-119,447)^1,761",same relation as 1991-2007 shifted by -0.053 m (datum change 2007-11-16)
10.Q.29,Cottessen,Geul,2007-11-16,,2,120.027,120.897,4.420*(H-119.305)**2.081,"4,420 * (H-119,305)^2,081",
10.Q.29,Cottessen,Geul,2007-11-16,,3,120.897,121.530,1.715*(H-119.004)**2.999,"1,715 * (H-119,004)^2,999",
10.Q.30,Hommerich,Geul,2007-01-01,2011-07-05,1,92.400,92.740,22.049*(H-92.290)**1.991,"22,049 * (H – 92,290)^1,991",
10.Q.30,Hommerich,Geul,2007-01-01,2011-07-05,2,92.740,94.800,20.176*(H-92.506)**1.0384,"20,176 * (H – 92,506)^1,0384",
10.Q.30,Hommerich,Geul,2011-07-06,2013-11-08,1,92.400,92.740,22.049*(H-92.314)**1.991,"22,049 * (H – 92,314)^1,991",
10.Q.30,Hommerich,Geul,2011-07-06,2013-11-08,2,92.740,94.800,20.176*(H-92.530)**1.0384,"20,176 * (H – 92,530)^1,0384",
10.Q.30,Hommerich,Geul,2013-11-09,2013-12-31,1,92.400,92.910,23.920*(H-92.326)**2.073,"23,920 * (H – 92,326)^2,073",
10.Q.30,Hommerich,Geul,2013-11-09,2013-12-31,2,92.910,94.800,20.176*(H-92.530)**1.0384,"20,176 * (H – 92,530)^1,0384",
10.Q.30,Hommerich,Geul,2014-01-01,2015-07-31,1,92.400,93.390,17.380*(H-92.378)**1.659,"17,380 * (H – 92,378)^1,659",sheet: low part of the relation unstable (0.75 m3/s at 92.477 m on 2011-06-27; 92.542 m on 2015-05-27; 92.577 m on 2016-08-24)
10.Q.30,Hommerich,Geul,2014-01-01,2015-07-31,2,93.400,94.800,20.176*(H-92.530)**1.0384,"20,176 * (H – 92,530)^1,0384",sheet leaves 93.390-93.400 m uncovered
10.Q.30,Hommerich,Geul,2015-08-01,2016-06-04,1,92.400,92.770,24.820*(H-92.309)**2.479,"24.820 * (H – 92,309)^2,479",sheet: probable disturbance of the relation during the June 2016 high water
10.Q.30,Hommerich,Geul,2015-08-01,2016-06-04,2,92.780,93.390,17.380*(H-92.378)**1.659,"17,380 * (H – 92,378)^1,659",
10.Q.30,Hommerich,Geul,2015-08-01,2016-06-04,3,93.400,94.800,20.176*(H-92.530)**1.0384,"20,176 * (H – 92,530)^1,0384",
10.Q.30,Hommerich,Geul,2016-06-05,2016-08-04,1,92.510,92.570,18.600*(H-92.507)**1.114,"18,600 * (H – 92,507)^1,114",
10.Q.30,Hommerich,Geul,2016-06-05,2016-08-04,2,92.570,92.770,24.820*(H-92.309)**2.479,"24.820 * (H – 92,309)^2,479",
10.Q.30,Hommerich,Geul,2016-06-05,2016-08-04,3,92.780,93.390,17.380*(H-92.378)**1.659,"17,380 * (H – 92,378)^1,659",
10.Q.30,Hommerich,Geul,2016-06-05,2016-08-04,4,93.400,94.800,20.176*(H-92.530)**1.0384,"20,176 * (H – 92,530)^1,0384",sheet: from 2016-08-05 discharges up to 92.65 m are computed too high
10.Q.30,Hommerich,Geul,2016-08-05,2016-12-31,1,92.500,92.770,34.73*(H-92.357)**2.511,"34,73 * (H – 92,357) ^ 2,511",sheet prints the start date as 5-6-2016 which overlaps the previous version; read as 2016-08-05 (to confirm)
10.Q.30,Hommerich,Geul,2016-08-05,2016-12-31,2,92.660,92.770,24.820*(H-92.309)**2.479,"24.820 * (H – 92,309)^2,479",segment overlaps segment 1 in the sheet
10.Q.30,Hommerich,Geul,2016-08-05,2016-12-31,3,92.780,93.390,17.380*(H-92.378)**1.659,"17,380 * (H – 92,378)^1,659",
10.Q.30,Hommerich,Geul,2016-08-05,2016-12-31,4,93.400,94.800,20.176*(H-92.530)**1.0384,"20,176 * (H – 92,530)^1,0384",
10.Q.30,Hommerich,Geul,2017-01-01,2018-06-01,1,92.500,92.740,45.960*(H-92.435)**2.216,"45,960 * (H - 92,435)^2,216",
10.Q.30,Hommerich,Geul,2017-01-01,2018-06-01,2,92.740,93.400,17.380*(H-92.378)**1.659,"17,380 * (H – 92,378)^1,659",
10.Q.30,Hommerich,Geul,2017-01-01,2018-06-01,3,93.400,94.800,20.176*(H-92.530)**1.0384,"20,176 * (H – 92,530)^1,0384",
10.Q.30,Hommerich,Geul,2018-06-01,2020-07-30,1,92.500,92.740,36.768*(H-92.435)**2.216,"36,768 * (H - 92,435)^2,216",sheet: temporary adjustment (x0.8; x0.8; x0.9)
10.Q.30,Hommerich,Geul,2018-06-01,2020-07-30,2,92.740,93.400,13.904*(H-92.378)**1.659,"13,904 * (H – 92,378)^1,659",
10.Q.30,Hommerich,Geul,2018-06-01,2020-07-30,3,93.400,94.800,18.158*(H-92.530)**1.0384,"18,158* (H – 92,530)^1,0384",
10.Q.30,Hommerich,Geul,2020-07-30,2020-10-14,0,,,,,"sheet: discharge computation disturbed by overdue maintenance (no relation)"
10.Q.30,Hommerich,Geul,2021-10-14,,0,,,,,"sheet: relation under development (no relation); 2020-10-14 to 2021-10-13 not covered by the sheet"
10.Q.36,Meerssen,Geul,2003-09-22,2013-07-01,1,42.800,43.400,14.74*(H-42.596)**2.527,"14.74 * (H – 42.596)^2.527",sheet: from 2010 in combination with ADCP
10.Q.36,Meerssen,Geul,2003-09-22,2013-07-01,2,43.400,46.500,19.26*(H-42.996)**0.904,"19.26 * (H – 42.996)^0.904",
10.Q.36,Meerssen,Geul,2013-07-02,,0,,,,,"ADCP discharge (no relation in the table); sheet: 2019-2021 low-sensor problems so the QH relation was used for long periods; failed 2021-07-14; no measurements 2021-07-14 to 2022-07-15; new measurement from 2022-07-15 using the low sensor only"
11.Q.32,Eyserbeek Eys,Eyserbeek,2001-01-01,,1,100.650,101.006,2.400*(H-100.596)**1.975,"2,400 * (H-100,596)^1,975",structure re-levelled 2008-02-21 (bed 100.606 to 100.611 m) without a new relation in the table
11.Q.32,Eyserbeek Eys,Eyserbeek,2001-01-01,,2,101.006,101.886,1.731*(H-100.456)**2.402,"1,731 * (H-100,456)^2,402",
11.Q.32,Eyserbeek Eys,Eyserbeek,2001-01-01,,3,101.886,102.306,0.9874*(H-100.234)**2.830,"0,9874 *(H-100,234)^2,830",
12.Q.31,Selzerbeek Partij,Selzerbeek,2009-08-27,2010-06-15,1,96.000,96.710,3.562*(H-95.985)**1.840,"3,562 * (H – 95,985^1,840",closing parenthesis missing in the sheet
12.Q.31,Selzerbeek Partij,Selzerbeek,2009-08-27,2010-06-15,2,96.710,97.200,3.350*(H-95.935)**2.078,"3,350 * (H – 95,935)^2,078",
12.Q.31,Selzerbeek Partij,Selzerbeek,2010-06-15,2011-03-09,1,96.710,97.200,3.350*(H-95.935)**2.078,"3,350 * (H – 95,935)^2,078",no relation below 96.710 m in this version
12.Q.31,Selzerbeek Partij,Selzerbeek,2011-03-09,2011-06-08,1,96.000,97.200,3.456*(H-95.900)**2.210,"3,456 * (H – 95,900)^2,210",sheet: throat bed 95.972 m; 2011-06-09 to 2011-10-09 not covered by the sheet
12.Q.31,Selzerbeek Partij,Selzerbeek,2011-10-10,2012-06-30,1,96.000,97.200,3.456*(H-95.900)**2.210,"3,456 * (H – 95,900)^2,210",
12.Q.31,Selzerbeek Partij,Selzerbeek,2012-07-01,2012-12-23,1,96.000,96.300,3.562*(H-96.002)**1.840,"3,562 * (H – 96,002)^1,840",
12.Q.31,Selzerbeek Partij,Selzerbeek,2012-07-01,2012-12-23,2,96.300,97.200,3.456*(H-95.900)**2.210,"3,456 * (H – 95,900)^2,210",
12.Q.31,Selzerbeek Partij,Selzerbeek,2012-12-24,2013-07-17,1,96.000,97.200,3.456*(H-95.900)**2.210,"3,456 * (H – 95,900)^2,210",
12.Q.31,Selzerbeek Partij,Selzerbeek,2013-07-18,2013-10-31,1,96.000,96.300,3.562*(H-96.002)**1.840,"3,562 * (H – 96,002)^1,840",
12.Q.31,Selzerbeek Partij,Selzerbeek,2013-07-18,2013-10-31,2,96.300,97.200,3.456*(H-95.900)**2.210,"3,456 * (H – 95,900)^2,210",
12.Q.31,Selzerbeek Partij,Selzerbeek,2013-11-01,2017-06-14,1,96.000,97.200,3.456*(H-95.900)**2.210,"3,456 * (H – 95,900)^2,210",
12.Q.31,Selzerbeek Partij,Selzerbeek,2017-06-15,2017-09-01,0,,,,,sheet: no discharge measurement possible because of vegetation
12.Q.31,Selzerbeek Partij,Selzerbeek,2017-09-01,2020-06-20,1,96.000,97.200,3.456*(H-95.900)**2.210,"3,456 * (H – 95,900)^2,210",
12.Q.31,Selzerbeek Partij,Selzerbeek,2020-06-20,2020-09-01,0,,,,,sheet: no discharge measurement possible because of vegetation
12.Q.31,Selzerbeek Partij,Selzerbeek,2020-09-01,2021-07-16,1,96.000,97.200,3.456*(H-95.900)**2.210,"3,456 * (H – 95,900)^2,210",2021-07-17 to 2022-01-25 not covered by the sheet
12.Q.31,Selzerbeek Partij,Selzerbeek,2022-01-26,2022-01-27,1,96.000,97.200,3.456*(H-95.900)**2.210,"3,456 * (H – 95,900)^2,210",
12.Q.31,Selzerbeek Partij,Selzerbeek,2022-01-27,,1,96.000,96.300,0.85*3.456*(H-95.900)**2.210,"0,85 * 3,456 * (H – 95,900)^2,210",
12.Q.31,Selzerbeek Partij,Selzerbeek,2022-01-27,,2,96.300,97.200,3.456*(H-95.900)**2.210,"3,456 * (H – 95,900)^2,210",
12.Q.46,Selzerbeek Molentak,Selzerbeek Molentak,1994-09-30,,1,93.000,94.500,0,0,zero flow below 94.500 m
12.Q.46,Selzerbeek Molentak,Selzerbeek Molentak,1994-09-30,,2,94.500,94.770,1.5717*(H-94.400)**2.242,"1,5717 * (H-94,400)^2,242",
12.Q.46,Selzerbeek Molentak,Selzerbeek Molentak,1994-09-30,,3,94.770,95.250,1.3962*(H-94.320)**2.643,"1,3962 * (H-94,320)^2,643",
13.Q.34,Azijnfabriek,Gulp,1997-11-13,2011-01-18,1,90.700,90.850,8.297*(H-90.680)**1.491,"8,297 * (H – 90,680)^1,491",series 1997-11-13 to 2006-12-31 recomputed 2007-03-14; 2011-01-19 to 2011-02-28 not covered by the sheet
13.Q.34,Azijnfabriek,Gulp,1997-11-13,2011-01-18,2,90.850,92.000,12.12*(H-90.749)**1.290,"12,12 * (H – 90,749)^1,290",
13.Q.34,Azijnfabriek,Gulp,2011-03-01,2011-07-18,1,90.770,92.000,12.53*(H-90.768)**1.221,"12,53 x (H – 90,768)^1,221",
13.Q.34,Azijnfabriek,Gulp,2011-07-19,2012-10-14,1,90.700,90.850,8.297*(H-90.680)**1.491,"8,297 * (H – 90,680)^1,491",
13.Q.34,Azijnfabriek,Gulp,2011-07-19,2012-10-14,2,90.850,92.000,12.12*(H-90.749)**1.290,"12,12 * (H – 90,749)^1,290",
