dataset,year,month,expected_hours,north,west,south,east,variables,blob,bytes,sha256
reanalysis-era5-land,2001,1,744,52.0,5.0,50.5,6.7,2m_temperature;2m_dewpoint_temperature;surface_pressure,source/era5_land_limburg_2001_01.nc,1041061,369ffba284e09d42a0a405fdf9d8d770dd9c30dae0f577547f8c3680dbfc0787
reanalysis-era5-land,2001,2,672,52.0,5.0,50.5,6.7,2m_temperature;2m_dewpoint_temperature;surface_pressure,source/era5_land_limburg_2001_02.nc,954971,ac92d5b9c1cffbb128151431c9751c0462a0b91b962c8b5148f4a791409c3c0d
reanalysis-era5-land,2001,3,744,52.0,5.0,50.5,6.7,2m_temperature;2m_dewpoint_temperature;surface_pressure,source/era5_land_limburg_2001_03.nc,1054319,ae71a89aad6da0ff4595b63a955a1fd8db7d15fbce844aa51a381d17e45f048b
reanalysis-era5-land,2001,4,720,52.0,5.0,50.5,6.7,2m_temperature;2m_dewpoint_temperature;surface_pressure,source/era5_land_limburg_2001_04.nc,1026728,59b1eb43a03dac316acdc7642ea1b3f9e784ae9637e1c33fcffc8ca7f8d93eaa
reanalysis-era5-land,2001,5,744,52.0,5.0,50.5,6.7,2m_temperature;2m_dewpoint_temperature;surface_pressure,source/era5_land_limburg_2001_05.nc,1050157,16643c77a513a0b9b91961befa4259341d469322087b4747e817e13746b9660b
reanalysis-era5-land,2001,6,720,52.0,5.0,50.5,6.7,2m_temperature;2m_dewpoint_temperature;surface_pressure,source/era5_land_limburg_2001_06.nc,1027121,3e4c6e395dee3e0f6744529b3d98a2c727e3dfadf80fbac9e3ec2de0ce9dcc96
reanalysis-era5-land,2001,7,744,52.0,5.0,50.5,6.7,2m_temperature;2m_dewpoint_temperature;surface_pressure,source/era5_land_limburg_2001_07.nc,1057333,14eec62ac3e884fbb159bc1ad25c530d3be76aaa050ad84acd6e32e6227cf69c
reanalysis-era5-land,2001,8,744,52.0,5.0,50.5,6.7,2m_temperature;2m_dewpoint_temperature;surface_pressure,source/era5_land_limburg_2001_08.nc,1054352,c848d66ca984f2dfbce645d72ab13887b79970dc622defa21b2916832238fa5a
reanalysis-era5-land,2001,9,720,52.0,5.0,50.5,6.7,2m_temperature;2m_dewpoint_temperature;surface_pressure,source/era5_land_limburg_2001_09.nc,1013163,10083b9355928138ab7b0217f4f5f636c4d402207e654b84cf9dc079b43e68dd
reanalysis-era5-land,2001,10,744,52.0,5.0,50.5,6.7,2m_temperature;2m_dewpoint_temperature;surface_pressure,source/era5_land_limburg_2001_10.nc,1037550,d2295390eb7d46608cb042ca22ed76a6cfd2ff03616effac309e0b8edf124753
reanalysis-era5-land,2001,11,720,52.0,5.0,50.5,6.7,2m_temperature;2m_dewpoint_temperature;surface_pressure,source/era5_land_limburg_2001_11.nc,1017088,adaa1e5a7e8d38a60ec24d514c86ed40b30e0ef6036d26122b9d584850747443
reanalysis-era5-land,2001,12,744,52.0,5.0,50.5,6.7,2m_temperature;2m_dewpoint_temperature;surface_pressure,source/era5_land_limburg_2001_12.nc,1043596,3d102279393ce8d807049380354e4256bf58a3670865c3dc7f46256df2489027
reanalysis-era5-land,2002,1,744,52.0,5.0,50.5,6.7,2m_temperature;2m_dewpoint_temperature;surface_pressure,source/era5_land_limburg_2002_01.nc,1047890,49d54de67888d41d55dbcfc219a99481efd52041214f4fba7c571ff2d9e52eec
reanalysis-era5-land,2002,2,672,52.0,5.0,50.5,6.7,2m_temperature;2m_dewpoint_temperature;surface_pressure,source/era5_land_limburg_2002_02.nc,950349,b4045e7c9515f701f819dd47b8cb92aae7cb598bf25d2a4cfd06075bdfd63db6
reanalysis-era5-land,2002,3,744,52.0,5.0,50.5,6.7,2m_temperature;2m_dewpoint_temperature;surface_pressure,source/era5_land_limburg_2002_03.nc,1048619,9c6dd2005412ea116483ef1c783599954925c0d5136feacee31069c5d8810fd3
reanalysis-era5-land,2002,4,720,52.0,5.0,50.5,6.7,2m_temperature;2m_dewpoint_temperature;surface_pressure,source/era5_land_limburg_2002_04.nc,1024954,29848eada0b1650a4e68de29573e00c4fa8d81fc8598bba92d56ccde8fcdc88d
reanalysis-era5-land,2002,5,744,52.0,5.0,50.5,6.7,2m_temperature;2m_dewpoint_temperature;surface_pressure,source/era5_land_limburg_2002_05.nc,1054720,fbc2007513accfe83d65b55edef1e70b8e353ae517354b0f12c08e744b8c6db4
reanalysis-era5-land,2002,6,720,52.0,5.0,50.5,6.7,2m_temperature;2m_dewpoint_temperature;surface_pressure,source/era5_land_limburg_2002_06.nc,1027174,9bebaab2cc1fa16dd1eb6f0fcc86db28ccd41e40a79fd9368994e130bd31acfb
reanalysis-era5-land,2002,7,744,52.0,5.0,50.5,6.7,2m_temperature;2m_dewpoint_temperature;surface_pressure,source/era5_land_limburg_2002_07.nc,1046876,586898897b7b92072036b6da4f2757ffad93906b5f3cb2221118d800289860d3
reanalysis-era5-land,2002,8,744,52.0,5.0,50.5,6.7,2m_temperature;2m_dewpoint_temperature;surface_pressure,source/era5_land_limburg_2002_08.nc,1050095,e96d727feeec3cfcd8d96978c362a02be6cd0aceff231cd897315123edd3e74b
reanalysis-era5-land,2002,9,720,52.0,5.0,50.5,6.7,2m_temperature;2m_dewpoint_temperature;surface_pressure,source/era5_land_limburg_2002_09.nc,1019529,1d9ef6564a1d5276868f73491b98e0583c24cb0efd0bdf9de312e248480ee9cb
reanalysis-era5-land,2002,10,744,52.0,5.0,50.5,6.7,2m_temperature;2m_dewpoint_temperature;surface_pressure,source/era5_land_limburg_2002_10.nc,1045839,25491dbb48a41726303eccc194bdfe1e011b8759a948d22a884d6fec39f0308e
reanalysis-era5-land,2002,11,720,52.0,5.0,50.5,6.7,2m_temperature;2m_dewpoint_temperature;surface_pressure,source/era5_land_limburg_2002_11.nc,1015801,e78898f1f19472454fe52bdf464513ed14a378b3f9e941ee7f7df07be87a2efe
reanalysis-era5-land,2002,12,744,52.0,5.0,50.5,6.7,2m_temperature;2m_dewpoint_temperature;surface_pressure,source/era5_land_limburg_2002_12.nc,1035104,1ba2e514438f2ed27449f8bdce7b5597d00cdcb0ec33fd41c4bf08cddd5078f4
reanalysis-era5-land,2003,1,744,52.0,5.0,50.5,6.7,2m_temperature;2m_dewpoint_temperature;surface_pressure,source/era5_land_limburg_2003_01.nc,1041692,18a63d5f61db7759bec15a8e1cf650ccdf0e417b576541e228087a609c8dc23c
reanalysis-era5-land,2003,2,672,52.0,5.0,50.5,6.7,2m_temperature;2m_dewpoint_temperature;surface_pressure,source/era5_land_limburg_2003_02.nc,959111,1a4a93f1de3971a3eca0ffd5a498fae1421855339ebd18e8b391dd34a7f2fa1f
reanalysis-era5-land,2003,3,744,52.0,5.0,50.5,6.7,2m_temperature;2m_dewpoint_temperature;surface_pressure,source/era5_land_limburg_2003_03.nc,1050432,72b165763ad98afa4764e2f14ecf47c64c861da2cd12e6426cac0b7892f669f3
reanalysis-era5-land,2003,4,720,52.0,5.0,50.5,6.7,2m_temperature;2m_dewpoint_temperature;surface_pressure,source/era5_land_limburg_2003_04.nc,1031373,edb8f5764da24aaba8be598268942ed039841efe78b4f3462144073cd911f4dd
reanalysis-era5-land,2003,5,744,52.0,5.0,50.5,6.7,2m_temperature;2m_dewpoint_temperature;surface_pressure,source/era5_land_limburg_2003_05.nc,1057586,8c86ab64968ae6744662c8a8689fb2380ea7826738fd2b5a0d103cb2582cacd5
reanalysis-era5-land,2003,6,720,52.0,5.0,50.5,6.7,2m_temperature;2m_dewpoint_temperature;surface_pressure,source/era5_land_limburg_2003_06.nc,1028296,dddafdf8979d4f9fb8c554bc58ccfde90c4fc161916360cccbeecbab8bcec3df
reanalysis-era5-land,2003,7,744,52.0,5.0,50.5,6.7,2m_temperature;2m_dewpoint_temperature;surface_pressure,source/era5_land_limburg_2003_07.nc,1057742,82fce01ffd6075d78f7c48469ded2d94223107646a1db41491f33fcfe0c30b37
reanalysis-era5-land,2003,8,744,52.0,5.0,50.5,6.7,2m_temperature;2m_dewpoint_temperature;surface_pressure,source/era5_land_limburg_2003_08.nc,1060296,c894e80ed32d64060c7ca2d7bd8bc5bf0b6289052847a51d5191b697a235cc7a
reanalysis-era5-land,2003,9,720,52.0,5.0,50.5,6.7,2m_temperature;2m_dewpoint_temperature;surface_pressure,source/era5_land_limburg_2003_09.nc,1029031,2b09543db37256afabece7f4bba2fc80c9dde564d20009ac0025acbc583e7d4b
reanalysis-era5-land,2003,10,744,52.0,5.0,50.5,6.7,2m_temperature;2m_dewpoint_temperature;surface_pressure,source/era5_land_limburg_2003_10.nc,1043294,20a644b87835ce44cd474905f02149cf7acf0869cdbe4bdc6c63070ae41f4085
reanalysis-era5-land,2003,11,720,52.0,5.0,50.5,6.7,2m_temperature;2m_dewpoint_temperature;surface_pressure,source/era5_land_limburg_2003_11.nc,1009068,58d6c4b33e3e575d949fd32c0aca080862745953d316b0c11a4a25d1df4d2ee3
reanalysis-era5-land,2003,12,744,52.0,5.0,50.5,6.7,2m_temperature;2m_dewpoint_temperature;surface_pressure,source/era5_land_limburg_2003_12.nc,1047635,6ed6eff4a3182abd1692cb9d794c3959ed7d545d8e8ca45eed4749167d170dfb
reanalysis-era5-land,2004,1,744,52.0,5.0,50.5,6.7,2m_temperature;2m_dewpoint_temperature;surface_pressure,source/era5_land_limburg_2004_01.nc,1054397,c784dbd56e22b36954843c6be9d0be5b399e5ac4f9ecbbd40cc029d614f0d6ba
reanalysis-era5-land,2004,2,696,52.0,5.0,50.5,6.7,2m_temperature;2m_dewpoint_temperature;surface_pressure,source/era5_land_limburg_2004_02.nc,989422,3fe480c2a6f2ef3cc74faf014ad5f0001ff2a57200ae03a0ac30bc5bab1a6d88
reanalysis-era5-land,2004,3,744,52.0,5.0,50.5,6.7,2m_temperature;2m_dewpoint_temperature;surface_pressure,source/era5_land_limburg_2004_03.nc,1054327,93aaefa84f80570754bce5bad1df18dc3296c9ba575e917a1572c18869b381d9
reanalysis-era5-land,2004,4,720,52.0,5.0,50.5,6.7,2m_temperature;2m_dewpoint_temperature;surface_pressure,source/era5_land_limburg_2004_04.nc,1026635,8c013fce88f17e77852796999537af56075eba6936f2c1034316243733f73e48
reanalysis-era5-land,2004,5,744,52.0,5.0,50.5,6.7,2m_temperature;2m_dewpoint_temperature;surface_pressure,source/era5_land_limburg_2004_05.nc,1057124,2bac7e79600448eda5d545899fbef8fa19f0bde71803dafebd988ce59edbe92f
reanalysis-era5-land,2004,6,720,52.0,5.0,50.5,6.7,2m_temperature;2m_dewpoint_temperature;surface_pressure,source/era5_land_limburg_2004_06.nc,1025341,9cf97bbd878bb9fb57f6418febbe58403f60df8e2359ba9e8ab50118ce47c1c4
reanalysis-era5-land,2004,7,744,52.0,5.0,50.5,6.7,2m_temperature;2m_dewpoint_temperature;surface_pressure,source/era5_land_limburg_2004_07.nc,1047994,11032baa65edfc972e6508abeba9f3dad27919f6e028e85731ecf7f4fd4b7a5a
reanalysis-era5-land,2004,8,744,52.0,5.0,50.5,6.7,2m_temperature;2m_dewpoint_temperature;surface_pressure,source/era5_land_limburg_2004_08.nc,1056110,8afce0dea2122e07e3aa63a2bb0c4d94b3712066675863a57d7cc32424427e34
reanalysis-era5-land,2004,9,720,52.0,5.0,50.5,6.7,2m_temperature;2m_dewpoint_temperature;surface_pressure,source/era5_land_limburg_2004_09.nc,1022011,25db1c3f454e16a24f15a02a3d15579e26392b417b2087d0830e7208f689ed37
reanalysis-era5-land,2004,10,744,52.0,5.0,50.5,6.7,2m_temperature;2m_dewpoint_temperature;surface_pressure,source/era5_land_limburg_2004_10.nc,1041849,76e9492b6fecab66b8dc08458851c8f530f9eb96e0747b15ca67c86cbc09e562
reanalysis-era5-land,2004,11,720,52.0,5.0,50.5,6.7,2m_temperature;2m_dewpoint_temperature;surface_pressure,source/era5_land_limburg_2004_11.nc,1018774,77387df5d0e3f61dcaee458aae2738069bb5eb4a77d69b3a26db21381e6d0540
reanalysis-era5-land,2004,12,744,52.0,5.0,50.5,6.7,2m_temperature;2m_dewpoint_temperature;surface_pressure,source/era5_land_limburg_2004_12.nc,1053024,ac1d57b2d5a3981bf7eeb6eccf316b84c47caf09955a4fbc2caad1835e3e3de1
reanalysis-era5-land,2005,1,744,52.0,5.0,50.5,6.7,2m_temperature;2m_dewpoint_temperature;surface_pressure,source/era5_land_limburg_2005_01.nc,1048796,628b367cbfc822528b076690ade36ee1d7acbd91ed82c105fa415be2ee40a181
reanalysis-era5-land,2005,2,672,52.0,5.0,50.5,6.7,2m_temperature;2m_dewpoint_temperature;surface_pressure,source/era5_land_limburg_2005_02.nc,964616,815b3a9f6c3ee441c0f5ee566f9c17f43bfff07a2eb70c4d64a82b48bd902333
reanalysis-era5-land,2005,3,744,52.0,5.0,50.5,6.7,2m_temperature;2m_dewpoint_temperature;surface_pressure,source/era5_land_limburg_2005_03.nc,1052409,63c7a2695d3eb1e34e383bc0e58d99337676f65a14be588850a64bc5c528c5bf
reanalysis-era5-land,2005,4,720,52.0,5.0,50.5,6.7,2m_temperature;2m_dewpoint_temperature;surface_pressure,source/era5_land_limburg_2005_04.nc,1029205,3c1bd6aa867a14654e2ee2bbfa5858acc8c922b290c785e3d983175a58d7effe
reanalysis-era5-land,2005,5,744,52.0,5.0,50.5,6.7,2m_temperature;2m_dewpoint_temperature;surface_pressure,source/era5_land_limburg_2005_05.nc,1058021,3ea30e4fa66cf745d4ae9f479d26d60f9abe5098fd813f2d30d9f94fc7bc45dc
reanalysis-era5-land,2005,6,720,52.0,5.0,50.5,6.7,2m_temperature;2m_dewpoint_temperature;surface_pressure,source/era5_land_limburg_2005_06.nc,1029020,88a2d13ee786ba01ad45ca61a4afb9080cfd1504b2b018e03e84253f83037cee
reanalysis-era5-land,2005,7,744,52.0,5.0,50.5,6.7,2m_temperature;2m_dewpoint_temperature;surface_pressure,source/era5_land_limburg_2005_07.nc,1054449,732c622780e4a9a1819681c00981bc92c7b7c254f70a0d4a51ae3fbaa6b56990
